seed,strategy,item_id,store_id,rmse,mae,train_time,inference_time,best_epoch
26008,expanding_window,680152,6269,11.339011511842116,9.474687677680278,0.0,0.016000986099243164,4
26008,sliding_window,680152,6269,12.327156462840211,10.149453151946753,0.0,0.015001535415649414,4
26008,best_val,911753,6269,23.970558258524168,18.00467386637248,0.0,0.016001462936401367,121
26008,best_train_early_val,911753,6269,40.69202384363719,33.26299330338933,0.0,0.022001028060913086,13
26008,combined,911753,6269,24.576720318324423,18.126245952947855,7.315898656845093,0.01700139045715332,121
26008,expanding_window,911753,6269,24.12498779716443,17.672263335850502,0.0,0.01600193977355957,87
26008,sliding_window,911753,6269,32.297243815186484,25.60067966405083,0.0,0.017000675201416016,53
26008,best_val,921558,6269,6.017122250540914,4.733528344459783,0.0,0.018002033233642578,48
26008,best_train_early_val,921558,6269,5.490228648692664,4.275852112209096,0.0,0.01900029182434082,15
26008,combined,921558,6269,7.144127398926455,5.981584647122552,2.869051456451416,0.01800227165222168,48
26008,expanding_window,921558,6269,6.304131648400679,5.2316281561758,0.0,0.016000747680664062,20
26008,sliding_window,921558,6269,5.421521497571868,4.243743295763053,0.0,0.017492294311523438,38
42,best_val,1325,6269,8.306157843755065,6.281233475853999,0.0,0.018003463745117188,36
42,best_train_early_val,1325,6269,8.828845286989964,6.6994101614052175,0.0,0.02000141143798828,22
42,combined,1325,6269,9.049876089549997,6.889621220017765,2.325883626937866,0.020002126693725586,36
42,expanding_window,1325,6269,8.33381575061155,6.381094581161449,0.0,0.017999649047851562,26
42,sliding_window,1325,6269,8.408903882765538,6.440591731102638,0.0,0.018002033233642578,41
42,best_val,26002,6269,36.774306455823684,19.513638453570262,0.0,0.01599860191345215,22
42,best_train_early_val,26002,6269,30.319351475106256,17.545329414015892,0.0,0.024001359939575195,18
42,combined,26002,6269,26.700956029698027,16.88453030985555,1.356515645980835,0.021371126174926758,22
42,expanding_window,26002,6269,48.43716322141373,24.54076383917842,0.0,0.017019033432006836,66
42,sliding_window,26002,6269,35.81056770204879,19.63370856932468,0.0,0.01999831199645996,16
42,best_val,26924,6269,17.640966631317784,12.758895852207358,0.0,0.017000436782836914,12
42,best_train_early_val,26924,6269,15.399391965586446,11.119007352130865,0.0,0.01800060272216797,12
42,combined,26924,6269,17.84050108417901,12.958607249789768,0.7241687774658203,0.02100062370300293,12
42,expanding_window,26924,6269,18.150062115821648,13.125804499083875,0.0,0.019000768661499023,10
42,sliding_window,26924,6269,18.985845990820664,14.25661996688718,0.0,0.019000768661499023,11
42,best_val,151821,6269,10.114724418487603,7.997039065641515,0.0,0.016998767852783203,10
42,best_train_early_val,151821,6269,14.613429131926502,12.002082432017607,0.0,0.017999887466430664,16
42,combined,151821,6269,11.090309251469272,8.818380972918343,0.6255314350128174,0.020998477935791016,10
42,expanding_window,151821,6269,10.63489277661409,8.411847183127808,0.0,0.015001058578491211,31
42,sliding_window,151821,6269,12.30970303191496,9.943029254090552,0.0,0.020000934600830078,59
42,best_val,213628,6269,18.14603644083724,14.145091013970719,0.0,0.016000032424926758,9
42,best_train_early_val,213628,6269,18.067869940694038,13.899296223143347,0.0,0.016000986099243164,6
42,combined,213628,6269,17.27104422765909,13.159473791621089,0.5589981079101562,0.018002033233642578,9
42,expanding_window,213628,6269,15.010755640457678,11.644261565522042,0.0,0.016000032424926758,61
42,sliding_window,213628,6269,18.283119561658413,14.535517940139458,0.0,0.016000032424926758,34
42,best_val,213642,6269,10.063694377025728,7.703054517897126,0.0,0.02200150489807129,14
42,best_train_early_val,213642,6269,10.457596889476779,7.861623735014909,0.0,0.015998125076293945,4
42,combined,213642,6269,10.621379504656216,8.0908361172754,0.8381075859069824,0.017999887466430664,14
42,expanding_window,213642,6269,10.736766584054543,8.253667845250733,0.0,0.019002199172973633,3
42,sliding_window,213642,6269,10.24515133723953,7.834313491590662,0.0,0.022999048233032227,7
42,best_val,545602,6269,13.249212079347213,10.269475184624492,0.0,0.018998384475708008,2
42,best_train_early_val,545602,6269,13.45825095545047,10.027799849221909,0.0,0.02036881446838379,3
42,combined,545602,6269,14.78071181750004,12.09656272682489,0.11199665069580078,0.020003557205200195,2
42,expanding_window,545602,6269,14.552731660474812,10.976564735198528,0.0,0.018997669219970703,25
42,sliding_window,545602,6269,13.007385447709222,9.57564328352805,0.0,0.021999120712280273,11
42,best_val,904144,6269,11.914048232441155,9.511143282348035,0.0,0.017002105712890625,8
42,best_train_early_val,904144,6269,11.292912074719467,8.35204286006541,0.0,0.017999887466430664,9
42,combined,904144,6269,11.716329467925819,8.71674396458015,0.4960007667541504,0.01500248908996582,8
42,expanding_window,904144,6269,11.199152683472162,8.547120671938448,0.0,0.016000986099243164,13
42,sliding_window,904144,6269,12.138753601059301,9.728753247681786,0.0,0.01617121696472168,17
42,best_val,912509,6269,10.17037660978866,7.797681060491824,0.0,0.017001867294311523,33
42,best_train_early_val,912509,6269,10.392820195666781,8.181483977760365,0.0,0.016001462936401367,20
42,combined,912509,6269,10.040275613718766,7.576936744007409,1.9443893432617188,0.02099752426147461,33
42,expanding_window,912509,6269,10.1620047599221,7.647453985962213,0.0,0.018000364303588867,30
42,sliding_window,912509,6269,10.598525193226358,7.532758214894463,0.0,0.015000104904174805,35
42,best_val,932812,6269,15.770939999142376,11.90013650819367,0.0,0.022000789642333984,9
42,best_train_early_val,932812,6269,17.181486836265172,13.242044503392737,0.0,0.019998788833618164,12
42,combined,932812,6269,16.343226530784147,12.560702029396506,0.6119997501373291,0.020000219345092773,9
42,expanding_window,932812,6269,17.502385064060444,13.69805382591447,0.0,0.014998435974121094,12
42,sliding_window,932812,6269,16.044276623232978,12.25728947664398,0.0,0.02000117301940918,25
1000,best_val,1325,6269,8.979790913788497,6.757267866721925,0.0,0.015999794006347656,45
1000,best_train_early_val,1325,6269,7.983923982480635,6.132277967542215,0.0,0.016999006271362305,17
1000,combined,1325,6269,8.323853425569977,6.549035758754007,2.7415339946746826,0.016999483108520508,45
1000,expanding_window,1325,6269,8.551928638527542,6.616069184920562,0.0,0.021999120712280273,50
1000,sliding_window,1325,6269,7.8288121590386535,5.937073266584109,0.0,0.017000198364257812,21
1000,best_val,26002,6269,29.029549989941703,16.933706136055143,0.0,0.019999027252197266,24
1000,best_train_early_val,26002,6269,33.09642174123301,18.79654827958667,0.0,0.015999317169189453,21
1000,combined,26002,6269,24.578854805537098,18.87254189139877,1.5795979499816895,0.019685983657836914,24
1000,expanding_window,26002,6269,27.62751951822874,16.372308337464442,0.0,0.016000747680664062,83
1000,sliding_window,26002,6269,24.52630208178116,15.218627305750072,0.0,0.019999027252197266,72
1000,best_val,26924,6269,16.891650468763572,12.350569982154697,0.0,0.01599884033203125,12
1000,best_train_early_val,26924,6269,13.611067901271815,10.240565859414394,0.0,0.015999555587768555,17
1000,combined,26924,6269,16.76670396864663,11.664250803149603,0.6950626373291016,0.021000146865844727,12
1000,expanding_window,26924,6269,13.591398036239463,10.141695543052323,0.0,0.017000675201416016,21
1000,sliding_window,26924,6269,19.22520419508866,14.570535078547358,0.0,0.02268218994140625,12
1000,best_val,151821,6269,10.257266257260133,8.151993820090699,0.0,0.016002178192138672,12
1000,best_train_early_val,151821,6269,11.397271057900193,9.217512666789535,0.0,0.015000104904174805,8
1000,combined,151821,6269,9.810009434018008,7.733655100554422,0.7225379943847656,0.01900029182434082,12
1000,expanding_window,151821,6269,11.315676750256015,9.02048684413137,0.0,0.01600337028503418,17
1000,sliding_window,151821,6269,11.413306636297625,9.105532016629487,0.0,0.019998788833618164,22
1000,best_val,213628,6269,17.108493859023646,13.029602804215125,0.0,0.015000581741333008,5
1000,best_train_early_val,213628,6269,17.74619529346055,14.146149461175881,0.0,0.018999099731445312,13
1000,combined,213628,6269,16.977398210888126,12.843624465021433,0.2850017547607422,0.015002250671386719,5
1000,expanding_window,213628,6269,15.772322246138101,11.96833855108498,0.0,0.02200031280517578,40
1000,sliding_window,213628,6269,16.13976962668957,12.359641336342868,0.0,0.02299952507019043,27
1000,best_val,213642,6269,10.371325101471594,8.129962476055606,0.0,0.02299976348876953,3
1000,best_train_early_val,213642,6269,10.101700541232082,7.648492644035739,0.0,0.019999265670776367,7
1000,combined,213642,6269,11.296507891661928,8.90086236245492,0.2211458683013916,0.018633604049682617,3
1000,expanding_window,213642,6269,10.239185105058276,7.904898537919412,0.0,0.020000219345092773,5
1000,sliding_window,213642,6269,10.09879347913703,7.79588788338736,0.0,0.020998239517211914,11
1000,best_val,545602,6269,13.275689619741291,10.052469872571285,0.0,0.017002105712890625,5
1000,best_train_early_val,545602,6269,13.74890372970223,10.434332626634369,0.0,0.018001079559326172,3
1000,combined,545602,6269,14.281420982481269,11.206701389812176,0.3380014896392822,0.01800227165222168,5
1000,expanding_window,545602,6269,14.188443884788773,11.052378693047691,0.0,0.01600050926208496,10
1000,sliding_window,545602,6269,13.25332522637098,9.882888982693354,0.0,0.021999835968017578,8
1000,best_val,904144,6269,12.168276395886,9.147583382192002,0.0,0.015999317169189453,4
1000,best_train_early_val,904144,6269,11.617773332506916,9.20096324549781,0.0,0.01799941062927246,3
1000,combined,904144,6269,12.316008849827975,9.418827439445296,0.26000070571899414,0.01899862289428711,4
1000,expanding_window,904144,6269,11.503444167262485,8.812955605730512,0.0,0.01800060272216797,22
1000,sliding_window,904144,6269,11.350904313667735,8.46581099586549,0.0,0.01700115203857422,68
1000,best_val,912509,6269,10.322165463114226,7.637477532710904,0.0,0.02100205421447754,25
1000,best_train_early_val,912509,6269,10.363420343259719,7.732833658558091,0.0,0.023000717163085938,19
1000,combined,912509,6269,10.23525940938211,7.697905690841425,1.7112338542938232,0.02299976348876953,25
1000,expanding_window,912509,6269,10.294388943773537,8.103396186252045,0.0,0.01800060272216797,22
1000,sliding_window,912509,6269,10.64927499726664,7.693430848322273,0.0,0.022000551223754883,23
1000,best_val,932812,6269,15.232267912387508,11.582752713190963,0.0,0.020000934600830078,16
1000,best_train_early_val,932812,6269,14.867557053699196,10.926194212795084,0.0,0.015999555587768555,30
1000,combined,932812,6269,15.715773150331039,12.14554714844897,0.986689567565918,0.020000696182250977,16
1000,expanding_window,932812,6269,15.83082617419051,12.18360278029847,0.0,0.022999286651611328,11
1000,sliding_window,932812,6269,15.046409557625624,11.556223503904405,0.0,0.021001100540161133,14
26008,best_val,1325,6269,8.611180952152877,6.590770084800479,0.0,0.02299952507019043,60
26008,best_train_early_val,1325,6269,8.09408498832818,6.443848692124186,0.0,0.020000934600830078,21
26008,combined,1325,6269,8.614403064089348,6.683838185835995,4.425594329833984,0.021999359130859375,60
26008,expanding_window,1325,6269,9.344850058255924,6.998172531671384,0.0,0.01799941062927246,39
26008,sliding_window,1325,6269,8.243039906555431,6.66494319485683,0.0,0.015999794006347656,36
26008,best_val,26002,6269,54.69111115361844,26.814747964537222,0.0,0.02400064468383789,1
26008,best_train_early_val,26002,6269,39.17709726139313,20.79343944174402,0.0,0.016001224517822266,2
26008,combined,26002,6269,62.76956300144037,37.494692617917764,0.07699942588806152,0.021999120712280273,1
26008,expanding_window,26002,6269,31.55420208650725,18.277974777264532,0.0,0.01900005340576172,34
26008,sliding_window,26002,6269,30.661407602595787,17.741103324673922,0.0,0.01999974250793457,115
26008,best_val,26924,6269,15.674680233579576,11.442951986213135,0.0,0.022000551223754883,17
26008,best_train_early_val,26924,6269,15.577067852169193,11.29628013863283,0.0,0.020999908447265625,19
26008,combined,26924,6269,16.7371336771233,11.510566815831304,1.0960636138916016,0.019001245498657227,17
26008,expanding_window,26924,6269,13.768710196061354,10.402860300213684,0.0,0.01900196075439453,23
26008,sliding_window,26924,6269,16.963825786108703,12.590464548347823,0.0,0.020999670028686523,21
26008,best_val,151821,6269,10.569090621873228,8.334432682959863,0.0,0.01800084114074707,15
26008,best_train_early_val,151821,6269,14.128400667231706,11.783984178031972,0.0,0.019000530242919922,11
26008,combined,151821,6269,11.669328892850643,9.312220716788099,0.9270026683807373,0.017000913619995117,15
26008,expanding_window,151821,6269,11.10390469261597,8.96460699723437,0.0,0.01600193977355957,35
26008,sliding_window,151821,6269,10.688262245157786,8.462054371054656,0.0,0.02100086212158203,12
26008,best_val,213628,6269,17.531402989854104,13.566831997212242,0.0,0.021000146865844727,8
26008,best_train_early_val,213628,6269,17.76481485788576,14.378744606975637,0.0,0.020719528198242188,18
26008,combined,213628,6269,16.827329525080913,12.816379978376276,0.588001012802124,0.02099919319152832,8
26008,expanding_window,213628,6269,16.000333129702213,12.406180027409706,0.0,0.020000457763671875,109
26008,sliding_window,213628,6269,17.693625944072974,14.467335264277613,0.0,0.02000141143798828,66
26008,best_val,213642,6269,9.93734572983497,7.689970101795945,0.0,0.01900029182434082,7
26008,best_train_early_val,213642,6269,10.591204268161949,8.08082513540399,0.0,0.015999317169189453,5
26008,combined,213642,6269,10.022000069200187,7.8404705914017425,0.39800000190734863,0.02200007438659668,7
26008,expanding_window,213642,6269,10.206406847263834,8.042750527656157,0.0,0.015999317169189453,4
26008,sliding_window,213642,6269,10.311573671450052,8.108671631104027,0.0,0.021001577377319336,6
26008,best_val,545602,6269,13.911539917855098,10.807988196416618,0.0,0.017000198364257812,2
26008,best_train_early_val,545602,6269,14.375380304433593,11.013895029725592,0.0,0.019001245498657227,2
26008,combined,545602,6269,15.579156969421932,12.852364751053791,0.1100015640258789,0.01899886131286621,2
26008,expanding_window,545602,6269,15.369795469136228,12.100740254728818,0.0,0.01600050926208496,20
26008,sliding_window,545602,6269,13.545260212070536,10.209851240507918,0.0,0.014999866485595703,12
26008,best_val,904144,6269,12.666153447657424,9.818373533830144,0.0,0.016999244689941406,3
26008,best_train_early_val,904144,6269,13.12833866493722,10.557183988538442,0.0,0.018085241317749023,21
26008,combined,904144,6269,12.518153214825997,9.338722664156771,0.2330009937286377,0.022998809814453125,3
26008,expanding_window,904144,6269,11.043122991886213,8.528232223701243,0.0,0.021000146865844727,37
26008,sliding_window,904144,6269,11.419685062443476,8.683970460509942,0.0,0.022000789642333984,56
26008,best_val,912509,6269,10.109245116003436,7.788230581221238,0.0,0.018999576568603516,46
26008,best_train_early_val,912509,6269,10.848414207386828,8.849508178000356,0.0,0.0149993896484375,26
26008,combined,912509,6269,9.969448193943128,7.350036180486866,2.635925054550171,0.022000551223754883,46
26008,expanding_window,912509,6269,10.088353791524918,7.345903871885312,0.0,0.02199864387512207,37
26008,sliding_window,912509,6269,11.216928362248202,9.136041712137608,0.0,0.018000125885009766,42
26008,best_val,932812,6269,15.712370974223106,11.986594291294322,0.0,0.021000146865844727,22
26008,best_train_early_val,932812,6269,15.051871390361878,11.452885337904387,0.0,0.017000913619995117,9
26008,combined,932812,6269,17.525928134390796,13.804806876026728,1.3456366062164307,0.019001007080078125,22
26008,expanding_window,932812,6269,17.721663317740646,14.049832365871255,0.0,0.019998550415039062,13
26008,sliding_window,932812,6269,14.732230783799798,11.131058633717057,0.0,0.018290281295776367,29
42,best_val,6032,6269,11.312545347799505,7.034891351765277,0.0,0.02199840545654297,278
42,best_train_early_val,6032,6269,14.524370492202829,8.4129588379969,0.0,0.024000883102416992,23
42,combined,6032,6269,9.387971226344122,6.185272345940272,19.15367031097412,0.020998239517211914,278
42,expanding_window,6032,6269,11.994700194780092,8.061674311075334,0.0,0.021999120712280273,61
42,sliding_window,6032,6269,11.04594612909226,7.464124448548734,0.0,0.01500248908996582,57
42,best_val,26008,6269,48.11222163744849,25.622642090020616,0.0,0.018997669219970703,11
42,best_train_early_val,26008,6269,49.677532493063325,29.086305743631193,0.0,0.021000385284423828,7
42,combined,26008,6269,47.59158871428182,26.24814099959688,0.7006587982177734,0.016998767852783203,11
42,expanding_window,26008,6269,43.83956523421622,23.753000682670308,0.0,0.018996477127075195,25
42,sliding_window,26008,6269,46.73355418730674,26.93094852167407,0.0,0.019001483917236328,14
42,best_val,30534,6269,13.083392360362827,10.347287177698675,0.0,0.014997005462646484,96
42,best_train_early_val,30534,6269,11.986356854806438,9.727306192704276,0.0,0.01600170135498047,23
42,combined,30534,6269,13.169778219109268,10.568960711359978,5.7547502517700195,0.015001058578491211,96
42,expanding_window,30534,6269,12.28590248038044,10.225168050504198,0.0,0.021999120712280273,30
42,sliding_window,30534,6269,12.284422178273337,10.095646303220123,0.0,0.017999887466430664,19
42,best_val,151828,6269,9.893561408599616,7.646315767581946,0.0,0.015999794006347656,17
42,best_train_early_val,151828,6269,9.516215703115451,7.276486124672921,0.0,0.019001483917236328,19
42,combined,151828,6269,9.710781070636235,7.48862407263977,0.9959983825683594,0.017999887466430664,17
42,expanding_window,151828,6269,10.165217746482078,7.937428025248783,0.0,0.014998912811279297,12
42,sliding_window,151828,6269,9.356636736666903,6.901407485596494,0.0,0.021999120712280273,22
42,best_val,213629,6269,16.845088881620104,13.165515094800712,0.0,0.016000747680664062,56
42,best_train_early_val,213629,6269,17.392326399402563,12.687858820740693,0.0,0.018000364303588867,14
42,combined,213629,6269,16.557114336653672,13.162057802568075,3.3515896797180176,0.015001058578491211,56
42,expanding_window,213629,6269,18.363466311367084,14.9603924073425,0.0,0.021999120712280273,49
42,sliding_window,213629,6269,16.362223383783896,12.283798600333968,0.0,0.014999628067016602,59
42,best_val,500056,6269,18.248750783885708,14.854756748754214,0.0,0.01799917221069336,2
42,best_train_early_val,500056,6269,17.79219354903,13.983248497828159,0.0,0.020997047424316406,6
42,combined,500056,6269,18.33544271077163,14.55689047345149,0.1269991397857666,0.015999317169189453,2
42,expanding_window,500056,6269,18.038126507021065,13.870181101696943,0.0,0.017998695373535156,16
42,sliding_window,500056,6269,17.806882144726735,13.669059970897008,0.0,0.021071910858154297,29
42,best_val,582893,6269,12.476045758997598,9.587439648758352,0.0,0.017998933792114258,7
42,best_train_early_val,582893,6269,13.42507730450798,10.760935293303596,0.0,0.019002437591552734,4
42,combined,582893,6269,12.638890468017168,9.832695440334433,0.4109535217285156,0.017002344131469727,7
42,expanding_window,582893,6269,12.332189534337589,9.521801883683485,0.0,0.020998239517211914,12
42,sliding_window,582893,6269,12.882811574145016,9.792031524909866,0.0,0.015001058578491211,21
42,best_val,907967,6269,20.939723601283887,15.085379235884723,0.0,0.017000913619995117,6
42,best_train_early_val,907967,6269,20.485558893052822,15.184538374928866,0.0,0.021000385284423828,9
42,combined,907967,6269,20.831668085049955,14.931469328263226,0.3419992923736572,0.020001888275146484,6
42,expanding_window,907967,6269,19.88366316739331,14.199710586491753,0.0,0.020998477935791016,10
42,sliding_window,907967,6269,20.409561285894736,14.516339824869743,0.0,0.016000032424926758,10
42,best_val,915640,6269,10.242831897312275,8.131260765923393,0.0,0.014998435974121094,9
42,best_train_early_val,915640,6269,11.322301584989964,9.061335146037582,0.0,0.016002178192138672,1
42,combined,915640,6269,14.002938469862668,11.6775362974678,0.510000467300415,0.019999265670776367,9
42,expanding_window,915640,6269,11.2204206202092,9.215038798213785,0.0,0.01599907875061035,3
42,sliding_window,915640,6269,11.066815255370164,8.68934307223052,0.0,0.020000457763671875,43
42,best_val,933442,6269,17.38484658397179,12.935156217684932,0.0,0.014999866485595703,22
42,best_train_early_val,933442,6269,18.218933577220298,14.970175371353143,0.0,0.015001296997070312,11
42,combined,933442,6269,18.271288913633047,14.501724921166897,1.3304102420806885,0.016999244689941406,22
42,expanding_window,933442,6269,17.251443754858588,13.844960740335237,0.0,0.01599884033203125,30
42,sliding_window,933442,6269,17.472719984283845,13.706475742891723,0.0,0.019994497299194336,23
1000,best_val,6032,6269,9.72694161482147,6.3616052029374375,0.0,0.017001628875732422,224
1000,best_train_early_val,6032,6269,13.109213335747732,8.196315503977482,0.0,0.016582489013671875,14
1000,combined,6032,6269,11.437688209551022,7.267876224969727,13.23768138885498,0.014999151229858398,224
1000,expanding_window,6032,6269,11.344016537610042,7.036652540459352,0.0,0.014999866485595703,116
1000,sliding_window,6032,6269,9.91959455450093,6.563918453805587,0.0,0.021999359130859375,192
1000,best_val,26008,6269,42.54954211530112,22.382884765932566,0.0,0.01899266242980957,54
1000,best_train_early_val,26008,6269,46.319471873069936,29.0276522257554,0.0,0.015999794006347656,15
1000,combined,26008,6269,45.82742005591067,25.020035467506233,3.1696605682373047,0.01799750328063965,54
1000,expanding_window,26008,6269,43.048175627318486,24.136790269145777,0.0,0.016002416610717773,27
1000,sliding_window,26008,6269,47.37365218634745,28.569432675741076,0.0,0.02000117301940918,12
1000,best_val,30534,6269,11.662130741757629,9.624538259568558,0.0,0.021997928619384766,25
1000,best_train_early_val,30534,6269,12.602646841859423,10.100320674357267,0.0,0.017998218536376953,18
1000,combined,30534,6269,12.182673032091916,10.181010342209168,1.4565935134887695,0.016997575759887695,25
1000,expanding_window,30534,6269,12.438788063702033,10.362679954252991,0.0,0.015998363494873047,12
1000,sliding_window,30534,6269,12.294029403917383,9.992371701726727,0.0,0.016998767852783203,14
1000,best_val,151828,6269,9.473744209183446,7.285867494987507,0.0,0.01600027084350586,14
1000,best_train_early_val,151828,6269,9.40191223811475,7.168471324823651,0.0,0.01699662208557129,20
1000,combined,151828,6269,10.134079574098534,7.887245028237112,0.8620681762695312,0.021999359130859375,14
1000,expanding_window,151828,6269,9.533691028436456,7.017058325407941,0.0,0.02099895477294922,14
1000,sliding_window,151828,6269,9.677077055409507,6.967628920974295,0.0,0.015000581741333008,24
1000,best_val,213629,6269,17.70743261723971,13.899703292285695,0.0,0.015998363494873047,30
1000,best_train_early_val,213629,6269,25.234610574002694,21.886461098209704,0.0,0.01800370216369629,15
1000,combined,213629,6269,18.970932143911735,15.376163504482095,1.7062742710113525,0.020999431610107422,30
1000,expanding_window,213629,6269,16.634761421737206,13.258262190553877,0.0,0.021999359130859375,64
1000,sliding_window,213629,6269,21.094673761150517,17.885380736753053,0.0,0.017999649047851562,47
1000,best_val,500056,6269,18.29139964630442,14.311759954768847,0.0,0.01900005340576172,3
1000,best_train_early_val,500056,6269,17.642194604487152,14.002867611405117,0.0,0.017998695373535156,4
1000,combined,500056,6269,18.437441359875564,14.62981950632887,0.21199989318847656,0.016001462936401367,3
1000,expanding_window,500056,6269,18.23805095531805,14.126576070107665,0.0,0.017000436782836914,22
1000,sliding_window,500056,6269,18.224807219024928,14.98967839728773,0.0,0.017999887466430664,14
1000,best_val,582893,6269,12.487304646859378,9.587014640857971,0.0,0.023000717163085938,4
1000,best_train_early_val,582893,6269,12.555741889610768,9.206804867468628,0.0,0.01899862289428711,4
1000,combined,582893,6269,12.64189908172474,9.740879572197503,0.2629985809326172,0.019001007080078125,4
1000,expanding_window,582893,6269,12.818230119796205,9.936717625463904,0.0,0.02200150489807129,17
1000,sliding_window,582893,6269,13.490475227684463,10.562677833233394,0.0,0.02099752426147461,17
1000,best_val,907967,6269,20.334454173063275,14.469935861288333,0.0,0.01700139045715332,9
1000,best_train_early_val,907967,6269,20.9952454691697,15.771641372855193,0.0,0.023001670837402344,15
1000,combined,907967,6269,20.492764879617667,14.590868353064543,0.5700027942657471,0.01599907875061035,9
1000,expanding_window,907967,6269,19.885693211319747,14.280135545855254,0.0,0.01900029182434082,21
1000,sliding_window,907967,6269,19.35035097891593,13.904532469175999,0.0,0.027001619338989258,18
1000,best_val,915640,6269,9.210042553869856,7.339130925197227,0.0,0.018000364303588867,5
1000,best_train_early_val,915640,6269,10.483100924397863,8.390394023820466,0.0,0.01800060272216797,1
1000,combined,915640,6269,11.65355598176394,9.640873154783561,0.34200215339660645,0.02199864387512207,5
1000,expanding_window,915640,6269,13.043369662132703,10.448957181444355,0.0,0.023000717163085938,49
1000,sliding_window,915640,6269,9.904546213184368,7.9042705461090685,0.0,0.01900029182434082,24
1000,best_val,933442,6269,17.84030537714501,13.59994268709538,0.0,0.02299976348876953,17
1000,best_train_early_val,933442,6269,19.43535194770242,16.165127532739266,0.0,0.020999431610107422,12
1000,combined,933442,6269,18.894313839854263,15.515778749986412,1.2730023860931396,0.02200031280517578,17
1000,expanding_window,933442,6269,22.690460078075265,18.057468522973114,0.0,0.021999120712280273,64
1000,sliding_window,933442,6269,17.55721127103559,13.537613217444981,0.0,0.023999691009521484,17
26008,best_val,6032,6269,10.63737366464655,6.433283992647346,0.0,0.023999929428100586,155
26008,best_train_early_val,6032,6269,13.08943404262111,8.069294635961258,0.0,0.020999431610107422,28
26008,combined,6032,6269,11.583341381568951,7.165899553378813,11.50506854057312,0.02200174331665039,155
26008,expanding_window,6032,6269,11.325136129540923,7.085277958876556,0.0,0.021999597549438477,104
26008,sliding_window,6032,6269,11.748562007527298,7.879343533535409,0.0,0.01999974250793457,84
26008,best_val,26008,6269,41.916797384629945,21.47363001294434,0.0,0.023997783660888672,75
26008,best_train_early_val,26008,6269,46.88410110721811,30.298326988430585,0.0,0.020998239517211914,16
26008,combined,26008,6269,41.52726568533115,21.818535249826372,4.762668609619141,0.016999244689941406,75
26008,expanding_window,26008,6269,46.54653337852432,25.831656020353822,0.0,0.01800084114074707,12
26008,sliding_window,26008,6269,42.033104748410445,24.796975934135368,0.0,0.016001462936401367,32
26008,best_val,30534,6269,12.403752621855507,9.91162840242869,0.0,0.021998882293701172,49
26008,best_train_early_val,30534,6269,12.089736609507403,10.150568771596049,0.0,0.017002105712890625,21
26008,combined,30534,6269,11.995893809585692,10.073913165459446,3.24938702583313,0.019999980926513672,49
26008,expanding_window,30534,6269,11.95431102351668,9.944514108249564,0.0,0.01900029182434082,26
26008,sliding_window,30534,6269,12.181435507246805,9.91955793020772,0.0,0.01937413215637207,25
26008,best_val,151828,6269,9.752487733327028,7.658385883164562,0.0,0.014999151229858398,15
26008,best_train_early_val,151828,6269,9.744333338255535,7.297273316560617,0.0,0.01899862289428711,17
26008,combined,151828,6269,9.915247036315494,7.686303255020404,1.0160009860992432,0.026002168655395508,15
26008,expanding_window,151828,6269,9.525662924580766,7.321411502517127,0.0,0.021001815795898438,19
26008,sliding_window,151828,6269,9.270287867416393,6.82781349872452,0.0,0.015999794006347656,12
26008,best_val,213629,6269,16.90747232104728,13.5370732125114,0.0,0.01599907875061035,53
26008,best_train_early_val,213629,6269,19.5673029230587,16.56075189160366,0.0,0.015000104904174805,29
26008,combined,213629,6269,17.317606914314133,13.833013839581433,3.144681453704834,0.020999670028686523,53
26008,expanding_window,213629,6269,17.53191199143029,14.352206667069517,0.0,0.016001224517822266,85
26008,sliding_window,213629,6269,16.59555958543648,13.109945642110569,0.0,0.016000032424926758,85
26008,best_val,500056,6269,18.48710280353168,14.871518025600832,0.0,0.019997358322143555,6
26008,best_train_early_val,500056,6269,17.82728704401847,14.070367835705577,0.0,0.02099895477294922,5
26008,combined,500056,6269,18.686638721232036,14.459129933827843,0.3360023498535156,0.01599884033203125,6
26008,expanding_window,500056,6269,18.146664021428744,14.12087184882242,0.0,0.02200150489807129,25
26008,sliding_window,500056,6269,17.997398827887398,14.594486700943094,0.0,0.015000581741333008,20
26008,best_val,582893,6269,13.268066374023272,10.607098932262339,0.0,0.0149993896484375,6
26008,best_train_early_val,582893,6269,12.705527186194466,9.787115362783274,0.0,0.016000986099243164,9
26008,combined,582893,6269,12.390133387113496,9.51779631812588,0.38315677642822266,0.015002012252807617,6
26008,expanding_window,582893,6269,12.064093627430177,8.960582004506993,0.0,0.01900172233581543,16
26008,sliding_window,582893,6269,13.02614034373737,10.121781834930767,0.0,0.02000141143798828,28
26008,best_val,907967,6269,21.00174601542445,15.443634263830248,0.0,0.021999597549438477,21
26008,best_train_early_val,907967,6269,20.312492509341443,14.863879348717484,0.0,0.017000198364257812,18
26008,combined,907967,6269,19.5671204068206,13.878755844496434,1.2000036239624023,0.01799774169921875,21
26008,expanding_window,907967,6269,19.82157612073697,14.048237337785608,0.0,0.01600027084350586,18
26008,sliding_window,907967,6269,19.978076309543304,14.467176406212102,0.0,0.021999359130859375,20
26008,best_val,915640,6269,10.568318025163315,8.424309649498634,0.0,0.015000104904174805,7
